state,ags,place,population
RP,072335006056,Pelm,969
BY,096765630128,Hausen (Landkreis Miltenberg),1857
BY,092730165165,"Rohr i.NB, M",3436
NI,034590014014,"Bramsche, Stadt",30625
BW,082360070070,Keltern,8736
BB,120675706072,Briesen (Mark),2929
SH,010535373049,Hamfelde (Kreis Herzogtum Lauenburg),505
TH,160610116116,Am Ohmberg,3562
MV,130715164054,Groß Miltzow,984
NI,033605407017,Römstedt,799
HE,065320014014,Hüttenberg,10601
RP,073365010003,Altenglan,2759
BB,120655502100,"Gransee, Stadt",5875
SN,145230280280,Neumark,2942
NI,032410014014,"Ronnenberg, Stadt",23817
RP,072315009124,"Traben-Trarbach, Stadt",5465
RP,073325005018,Frankeneck,821
BY,091900115115,Bernried am Starnberger See,2438
NI,034590029029,Ostercappeln,9888
RP,072325006305,Schwirzheim,460
BY,092730147147,"Mainburg, St",15068
BW,084365001027,Eichstegen,521
HE,066340018018,"Niedenstein, Stadt",5415
BY,091720115115,Bayerisch Gmain,2937
RP,071345002042,Hoppstädten-Weiersbach,3186
SN,146285209080,"Dohna, Stadt",6005
NI,032555409034,"Stadtoldendorf, Stadt",4853
SN,146255223460,Puschwitz,774
NW,053150000000,"Köln, Stadt",1017355
NW,055660096096,Wettringen (Kreis Steinfurt),8239
RP,072315008117,Sehlem (Landkreis Bernkastel-Wittlich),990
HE,066330013013,"Hofgeismar, Stadt",14388
BW,081175005026,"Göppingen, Stadt",57809
ST,150910375375,"Wittenberg, Lutherstadt",45010
BY,094765434171,Schneckenlohe,996
HE,065330004004,Dornburg,8407
RP,072355001112,Rascheid,478
BW,084255007139,Heroldstatt,2819
NW,059700028028,"Bad Laasphe, Stadt",13101
NI,033565401003,Hambergen,5536
HE,066330028028,"Wolfhagen, Hans-Staden-Stadt",12626
RP,073345005006,Freisbach,1214
BW,081365008061,Ruppertshofen (Landkreis Ostalbkreis),1833
BY,093765345172,Thanstein,944
HE,065330019019,Weinbach,4207
BY,093750118118,"Beratzhausen, M",5447
NW,057620004004,"Bad Driburg, Stadt",18572
BW,083175003097,Ohlsbach,3296
BB,120685807426,Temnitztal,1466
NW,059580024024,"Marsberg, Stadt",19471
HE,066110000000,"Kassel, documenta-Stadt",195012
BW,083150068068,Lenzkirch,5098
RP,072325006295,Pronsfeld,958
BY,091805137132,Seehausen a.Staffelsee,2469
RP,072355007051,Igel,2059
BY,097795723148,Fünfstetten,1309
BY,091840137137,Aying,5524
NI,032515406032,Schwaförden,1448
BY,093765339131,Gleiritsch,643
SH,010615168021,Christinenthal,68
HE,064320005005,Eppertshausen,6360
MV,130715152028,Datzetal,849
TH,160615001114,Teistungen,2464
NW,059740008008,Bad Sassendorf,12110
RP,072335001017,Deudesfeld,390
ST,150845054341,Molauer Land,1006
BY,096775621125,Erlenbach b.Marktheidenfeld,2423
SH,010615134101,Sommerland,732
TH,160685005005,Büchel (Landkreis Sömmerda),230
SH,010515178121,Warwerort,226
TH,160745015032,Großlöbichau,720
BY,091840122122,Grünwald,11138
RP,073405004027,Leimen,940
BY,091895173162,"Waging a.See, M",6690
MV,130765657003,Balow,316
ST,150835051030,Angern,1961
SH,010585803126,Ottendorf (Kreis Rendsburg-Eckernförde),999
TH,160645001009,Bruchstedt,274
BW,083155015037,Feldberg (Schwarzwald),1903
RP,071415011013,Biebrich,316
RP,073345001023,Ottersheim bei Landau,1820
SH,010535318020,Büchen,6366
RP,071325009071,Molzhain,553
NI,034540044044,Rhede (Ems),4314
HE,064310015015,"Lindenfels, Stadt",5009
MV,130765665130,Stralendorf,1337
BY,095720164164,"Weisendorf, M",6493
BW,081185007054,Murr,6498
BY,097785768144,"Bad Grönenbach, M",5519
BY,097710113113,"Aichach, St",21328
SH,010585864091,Krogaspe,432
ST,150845052207,Gutenborn,1715
RP,072315006006,Berglicht,449
RP,073345002008,"Hagenbach, Stadt",5354
BW,084165001026,Nehren (Landkreis Tübingen),4436
BY,095710174174,"Leutershausen, St",5537
HE,064370011011,"Michelstadt, Stadt",15688
RP,071435004051,Nentershausen (Landkreis Westerwaldkreis),2071
RP,073365009027,Frohnhofen,471
BB,120685807306,Märkisch Linden,1230
SH,010545492132,Südermarsch,142
BW,082165007049,Sinzheim,11380
BW,081185002077,Ingersheim,6239
MV,130755552075,Leopoldshagen,609
BW,084165003018,Hirrlingen,3129
BY,091780144144,"Nandlstadt, M",5474
SH,010605034043,Itzstedt,2497
NI,031515402008,Ehra-Lessien,1920
ST,150010000000,"Dessau-Roßlau, Stadt",75938
RP,071355003089,Weiler (Landkreis Cochem-Zell),280
BY,095610000000,Ansbach,39601
SN,145210495495,"Pockau-Lengefeld, Stadt",7398
SH,010535373036,Grabau (Kreis Herzogtum Lauenburg),363
NI,031590015015,Gleichen,8804
SN,146285240090,Dorfhain,1085
